movieId,title,year,genres,tag,average_rating
1,Toy Story,1995,Adventure|Animation|Children|Comedy|Fantasy,"TÃ©a Leoni does not star in this movie, toy, villian hurts toys, é®ä¸é¸£, 2009 reissue in Stereoscopic 3-D",3.7933467741935485
2,Jumanji,1995,Adventure|Children|Fantasy,"see also:Zathura, Chris Van Allsburg, childhood recaptured, herds of CGI animals, magic board game",3.0698924731182795
3,Grumpier Old Men,1995,Comedy|Romance,"comedinha de velhinhos engraÃÂ§ada, comedinha de velhinhos engraÃ§ada, grun running, Howard Deutch, Walter Matthau",2.923076923076923
4,Waiting to Exhale,1995,Comedy|Drama|Romance,"characters, chick flick, revenge, CLV",2.576923076923077
5,Father of the Bride Part II,1995,Comedy,"steve martin, Diane Keaton, Steve Martin, Fantasy, pregnancy",2.848684210526316
6,Heat,1995,Action|Crime|Thriller,"career criminal, individualism, tough guy, ONE LAST HEIST, loner",3.8181818181818183
7,Sabrina,1995,Comedy|Romance,"remadeAs:Sabrina(1995), remakeOf:Sabrina(1954), upstairs-downstairs, relationships, based on a play",3.25
9,Sudden Death,1995,Action,"Peter Hyams, Jean-Claude Van Damme, Can't remember, CLV",2.6346153846153846
10,GoldenEye,1995,Action|Adventure|Thriller,"007 movies are bad., tank chase scene, Puerto Rico, Caribbean, Sean Bean dies",3.33596837944664
11,"American President, The",1995,Comedy|Drama|Romance,"23.03.06, Amazing kung fu, clever dialogue, decent flick, Aaron Sorkin",3.3807339449541285
12,Dracula: Dead and Loving It,1995,Comedy|Horror,"Mel Brooks, vampire, gothic, BD-R",2.6176470588235294
13,Balto,1995,Adventure|Animation|Children,"dogsled, sort of boring, Simon Wells, Ei muista",3.1578947368421053
14,Nixon,1995,Drama,"Historical opinion, character based on real person:Richard Nixon, cinematographer:Robert Richardson, president, Drama",3.3653846153846154
15,Cutthroat Island,1995,Action|Adventure|Romance,"Pirate, treasure, pirates, big budget, CLV",2.7222222222222223
16,Casino,1995,Crime|Drama,"20060407, Pesci, Robert Deniro, Vegas, scorcese",3.9010416666666665
17,Sense and Sensibility,1995,Drama|Romance,"period film, Period, available DVD, literature, period piece",3.908
18,Four Rooms,1995,Comedy,"Tim Roth, Antonio Banderas, fast paced, 4, Tarantino",3.3125
19,Ace Ventura: When Nature Calls,1995,Comedy,"spit, Steve Oedekerk, crazy, Stupid as Hell, over the top",2.6825396825396823
20,Money Train,1995,Action|Comedy|Crime|Drama|Thriller,"Joseph Ruben, lame, CLV",2.5641025641025643
21,Get Shorty,1995,Comedy|Crime|Thriller,"Getting old but still excellent, travolta, author:Elmore Leonard, forgetable, Elmore Leonard",3.402439024390244
22,Copycat,1995,Crime|Drama|Horror|Mystery|Thriller,"agoraphobia, trauma, female protagonist, suspenseful, detective",3.056451612903226
23,Assassins,1995,Action|Crime|Thriller,"Richard Donner, 2.5, Sylvester Stallone, CLV",3.0392156862745097
24,Powder,1995,Drama|Sci-Fi,"albino, special powers, Victor Salva, tearjerking, elegiac",2.8161764705882355
25,Leaving Las Vegas,1995,Drama|Romance,"ALCOHOLISM, Mike Figgis, author:John O'Brien, Alcoholism, Elisabeth Shue",3.643939393939394
26,Othello,1995,Drama,"Oliver Parker, Shakespearean, shakespeare, playwright:Shakespeare, adapted from:play",3.361111111111111
27,Now and Then,1995,Children|Drama,"Rita Wilson, sisterhood, Gaby Hoffman, Janeane Garofalo, Melanie Griffith",3.44
28,Persuasion,1995,Drama|Romance,"Amanda Root is fabulous in this, CiarÃ¡n Hinds, screenwriter:Nick Dear, Amanda Root, setting:England",3.9423076923076925
29,"City of Lost Children, The (Cité des enfants perdus, La)",1995,Adventure|Drama|Fantasy|Mystery|Sci-Fi,"Marc Caro, clowny clones, Jeunet, awkward romance, Jean-Pierre Jeunet",3.810810810810811
31,Dangerous Minds,1995,Drama,"Dangerous Minds, John N. Smith, Highschool, protagonist is a teacher, teacher changing lives",3.1202531645569622
32,Twelve Monkeys (a.k.a. 12 Monkeys),1995,Mystery|Sci-Fi|Thriller,"Based on short film, Bruce Willlis, Joseph Melito, Madeleine Stowe, Mindfuck Movie",3.9705188679245285
34,Babe,1995,Children|Drama,"Animal, infantil, Chris Noonan, meaty, animal:pig",3.2752808988764044
35,Carrington,1995,Drama|Romance,"Bloomsbury Group, compare:Bright Star (2009), compare:Carrington (1995), protagonist is painter (artist), entirely dialogue",3.75
36,Dead Man Walking,1995,Crime|Drama,"Couldn't finish, Pena de muerte, deaf, dialogues, nun",3.710526315789474
39,Clueless,1995,Comedy|Romance,"Emma, inspired by Jane Austen, quick, radiohead, Highschool",3.2058823529411766
41,Richard III,1995,Drama|War,"Richard Loncraine, playwright:Shakespeare, updated classics, Ian McKellen, adapted from:play",3.769230769230769
42,Dead Presidents,1995,Action|Crime|Drama,"bank robbery, CLV",3.2222222222222223
43,Restoration,1995,Drama,"17th century, historical, England, CLV",3.0294117647058822
44,Mortal Kombat,1995,Action|Adventure|Fantasy,"Christopher Lambert, faithful to game, fatality, great casting, Paul W.S. Anderson",2.6333333333333333
45,To Die For,1995,Comedy|Drama|Thriller,"Journalism, Wayne Knight, Joaquin Phoenix, 100 Essential Female Performances, library",3.4574468085106385
46,How to Make an American Quilt,1995,Drama|Romance,"women, wedding, Bibliothek, CLV, based on a book",2.925
47,Seven (a.k.a. Se7en),1995,Mystery|Thriller,"Creative, actually the ending was obvius, amazing!., generally like the movie because of actors and crimes, gluttony",4.009955752212389
48,Pocahontas,1995,Animation|Children|Drama|Musical|Romance,"Irene Bedard, John Kassir, Judy Kuhn, Mike Gabriel, Russell Means",2.9285714285714284
50,"Usual Suspects, The",1995,Crime|Mystery|Thriller,"Academy Award - Best Original Screenplay, keyser sose, puzzle-like, sensational, genre-defining",4.180616740088106
52,Mighty Aphrodite,1995,Comedy|Drama|Romance,"watched 1995, adoption, prostitution, Oscar (Best Supporting Actress), Woody Allen",3.4245283018867925
57,Home for the Holidays,1995,Drama,"lovable, Jodie Foster, boring",3.230769230769231
58,"Postman, The (Postino, Il)",1994,Comedy|Drama|Romance,"Michael Radford, italian bittersweet romance, poets, poetry, writing",3.5144927536231885
60,"Indian in the Cupboard, The",1995,Adventure|Children|Fantasy,"Steve Coogan, Frank Oz, based on book, magic",2.9680851063829787
61,Eye for an Eye,1996,Drama|Thriller,"John Schlesinger, vigilante, CLV",2.857142857142857
62,Mr. Holland's Opus,1995,Drama,"Glenne Headly, Jay Thomas, bands, emotion, Mrs. DeWinter",3.4782608695652173
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,Comedy|Crime,"Wayans Brothers, Funny when your 10. Less funny when your not., goofy, parody",2.9642857142857144
64,Two if by Sea,1996,Comedy|Romance,"Bill Bennett, Sandra Bullock",3.0
